country,financial_year,type,grants,yoy_pct
Argentina,2022-23,offshore,1460,
Argentina,2022-23,onshore,904,
Argentina,2023-24,offshore,748,-48.8
Argentina,2023-24,onshore,709,
Argentina,2024-25,offshore,448,-40.1
Argentina,2024-25,onshore,1421,
Argentina,2025-26 YTD (to Feb 2026),offshore_ytd,254,
Argentina,2025-26 YTD (to Feb 2026),onshore_ytd,539,
Azerbaijan,2022-23,offshore,37,
Azerbaijan,2022-23,onshore,10,
Azerbaijan,2023-24,offshore,12,-67.6
Azerbaijan,2023-24,onshore,10,
Azerbaijan,2024-25,offshore,13,8.3
Azerbaijan,2024-25,onshore,8,
Azerbaijan,2025-26 YTD (to Feb 2026),offshore_ytd,18,
Azerbaijan,2025-26 YTD (to Feb 2026),onshore_ytd,1,
Bahrain,2022-23,offshore,11,
Bahrain,2022-23,onshore,9,
Bahrain,2023-24,offshore,6,-45.5
Bahrain,2023-24,onshore,6,
Bahrain,2024-25,offshore,2,-66.7
Bahrain,2024-25,onshore,5,
Bahrain,2025-26 YTD (to Feb 2026),offshore_ytd,1,
Bahrain,2025-26 YTD (to Feb 2026),onshore_ytd,,
Bangladesh,2022-23,offshore,5123,
Bangladesh,2022-23,onshore,2233,
Bangladesh,2023-24,offshore,7401,44.5
Bangladesh,2023-24,onshore,873,
Bangladesh,2024-25,offshore,9712,31.2
Bangladesh,2024-25,onshore,1358,
Bangladesh,2025-26 YTD (to Feb 2026),offshore_ytd,7367,
Bangladesh,2025-26 YTD (to Feb 2026),onshore_ytd,1861,
Bhutan,2022-23,offshore,7124,
Bhutan,2022-23,onshore,1063,
Bhutan,2023-24,offshore,3889,-45.4
Bhutan,2023-24,onshore,804,
Bhutan,2024-25,offshore,1715,-55.9
Bhutan,2024-25,onshore,1250,
Bhutan,2025-26 YTD (to Feb 2026),offshore_ytd,1561,
Bhutan,2025-26 YTD (to Feb 2026),onshore_ytd,1915,
Bolivia,2022-23,offshore,78,
Bolivia,2022-23,onshore,36,
Bolivia,2023-24,offshore,55,-29.5
Bolivia,2023-24,onshore,23,
Bolivia,2024-25,offshore,23,-58.2
Bolivia,2024-25,onshore,39,
Bolivia,2025-26 YTD (to Feb 2026),offshore_ytd,13,
Bolivia,2025-26 YTD (to Feb 2026),onshore_ytd,17,
Brazil,2022-23,offshore,11916,
Brazil,2022-23,onshore,8224,
Brazil,2023-24,offshore,7185,-39.7
Brazil,2023-24,onshore,3647,
Brazil,2024-25,offshore,4185,-41.8
Brazil,2024-25,onshore,7605,
Brazil,2025-26 YTD (to Feb 2026),offshore_ytd,2310,
Brazil,2025-26 YTD (to Feb 2026),onshore_ytd,3296,
Brunei,2022-23,offshore,101,
Brunei,2022-23,onshore,54,
Brunei,2023-24,offshore,89,-11.9
Brunei,2023-24,onshore,26,
Brunei,2024-25,offshore,93,4.5
Brunei,2024-25,onshore,22,
Brunei,2025-26 YTD (to Feb 2026),offshore_ytd,90,
Brunei,2025-26 YTD (to Feb 2026),onshore_ytd,12,
Cambodia,2022-23,offshore,1170,
Cambodia,2022-23,onshore,627,
Cambodia,2023-24,offshore,1307,11.7
Cambodia,2023-24,onshore,484,
Cambodia,2024-25,offshore,1229,-6.0
Cambodia,2024-25,onshore,483,
Cambodia,2025-26 YTD (to Feb 2026),offshore_ytd,1147,
Cambodia,2025-26 YTD (to Feb 2026),onshore_ytd,339,
Canada,2022-23,offshore,1659,
Canada,2022-23,onshore,389,
Canada,2023-24,offshore,1621,-2.3
Canada,2023-24,onshore,288,
Canada,2024-25,offshore,1540,-5.0
Canada,2024-25,onshore,306,
Canada,2025-26 YTD (to Feb 2026),offshore_ytd,1335,
Canada,2025-26 YTD (to Feb 2026),onshore_ytd,190,
Chile,2022-23,offshore,3429,
Chile,2022-23,onshore,1152,
Chile,2023-24,offshore,1901,-44.6
Chile,2023-24,onshore,1074,
Chile,2024-25,offshore,998,-47.5
Chile,2024-25,onshore,2079,
Chile,2025-26 YTD (to Feb 2026),offshore_ytd,611,
