canonical_university,platform,mention_count,total_views,total_likes,total_comments,unique_creators,high_confidence_count,medium_confidence_count,agent_linked_count,top_video_url,top_video_views,as_of_date
Deakin University,tiktok,50,0,0,0,47,50,0,0,https://www.tiktok.com/@rubyyydoobyy/video/7117543660551507201,0,2026-04-30
Deakin University,youtube,1,516,2,0,1,1,0,0,https://www.youtube.com/watch?v=fWksPJCelUY,516,2026-04-30
Macquarie University,tiktok,138,0,0,0,116,138,0,0,https://www.tiktok.com/@equitymates/video/7173983767982378241,0,2026-04-30
Macquarie University,youtube,12,624414,4466,195,12,12,0,0,https://www.youtube.com/watch?v=0e1O-JrM148,524499,2026-04-30
Monash University,tiktok,86,0,0,0,67,86,0,0,https://www.tiktok.com/@hey.rufaro/video/7557372218351668491,0,2026-04-30
Monash University,youtube,4,8804,277,55,4,4,0,0,https://www.youtube.com/watch?v=gWScklFhAeI,7111,2026-04-30
QUT,tiktok,50,0,0,0,41,50,0,0,https://www.tiktok.com/@qutrealworld/video/7204727294676520194,0,2026-04-30
QUT,youtube,2,2831,54,18,2,2,0,0,https://www.youtube.com/watch?v=l8_lYt1xKXw,2672,2026-04-30
RMIT University,tiktok,51,0,0,0,39,51,0,0,https://www.tiktok.com/@rmitbusinessandlaw/video/7483681443843984656,0,2026-04-30
Swinburne University,tiktok,50,0,0,0,40,50,0,0,https://www.tiktok.com/@mialborzillo/video/7629216965751475464,0,2026-04-30
UNSW Sydney,tiktok,50,0,0,0,35,50,0,0,https://www.tiktok.com/@unsw/video/7313442219325672705,0,2026-04-30
UNSW Sydney,youtube,1,15123,649,19,1,1,0,0,https://www.youtube.com/watch?v=P3aNPbNh7ps,15123,2026-04-30
UTS,tiktok,99,0,0,0,84,99,0,1,https://www.tiktok.com/@shawcrossgirlsu13/video/7630083574233910550,0,2026-04-30
UTS,youtube,3,780370,1620,50,3,3,0,0,https://www.youtube.com/watch?v=Z-9TJB7x0L8,670791,2026-04-30
University of Melbourne,tiktok,86,0,0,0,53,86,0,0,https://www.tiktok.com/@tcsher/video/7629341311765744916,0,2026-04-30
University of Melbourne,youtube,3,5996,195,64,3,2,1,0,https://www.youtube.com/watch?v=Qd7E3d0sUFE,2574,2026-04-30
University of Sydney,tiktok,80,0,0,0,59,80,0,0,https://www.tiktok.com/@amberdhattt/video/7628213751891676437,0,2026-04-30
University of Sydney,youtube,1,411,29,0,1,1,0,0,https://www.youtube.com/watch?v=TInDpj508XE,411,2026-04-30
