ingested_at,platform,query_alias,canonical_university,video_id,title,description,channel_id,channel_title,channel_subscribers,published_at,view_count,like_count,comment_count,duration,url,match_confidence,match_type
2026-04-19T06:32:56.792661+00:00,youtube,Deakin University,Deakin University,fWksPJCelUY,Studying education and teaching at Deakin,"Why study education and teaching at Deakin? Hear from our Head of School - School of Education, Damian Blake and Associate Head of School - Matt Thomas on what makes the Deakin experience stand out and how it prepares you to make a real impact as an educator. Fine out more: https://study.deakin.edu.au/apply/edu...",UCDok3dCAhtxDmXMiIhgyCow,Deakin University,333000,2026-02-02T05:06:56.000Z,516,2,,00:01:00,https://www.youtube.com/watch?v=fWksPJCelUY,high,short
2026-04-19T06:32:56.792661+00:00,youtube,Macquarie University,Macquarie University,mDarsFzeGDQ,Macquarie University Campus Tour,"Uniquely located in the heart of Australia’s largest high-tech precinct, Macquarie University's sprawling vibrant and sustainable campus offers 126 hectares of open land and state-of-the-art facilities that provide our community with the space and freedom to think, grow, achieve and effect change.

With more than 300 leading companies located on or around the Macquarie campus, our students are able to tap into industry connections that give them an edge in their future careers. Our staff also ha",UCcIQzUJDjjjdA4XG5M8Lcnw,Macquarie University,21200,2026-01-22T22:47:53.000Z,2528,42,,00:05:14,https://www.youtube.com/watch?v=mDarsFzeGDQ,high,official
2026-04-19T06:32:56.792661+00:00,youtube,Macquarie,Macquarie University,4TaGTx2Gf_o,How to Apply for Macquarie University Scholarships 2026 Undergraduate & Masters Step-by-Step Process,"❤️ APPLY LINK 1 - https://www.fullscholarships.net/2026/04/how-to-apply-for-macquarie-university.html

❤️ APPLY LINK 2 - https://www.kashmirlook.com/search/label/Scholarships
❤️ official WEBSITE- https://www.fullscholarships.net

❤️ DETAILS - 🎓 Want to study in Australia for FREE in 2026? 🇦🇺

The Macquarie University Scholarships 2026 are now open for international students, offering opportunities for Undergraduate and Master’s degrees 🌍

In this video, you’ll learn:
✔️ Eligibility criteria
✔️ S",UCqNmqanbaHIqhU-5Acc5DeA,Full Scholarships,54100,2026-04-02T13:07:46.000Z,2089,56,10,00:13:20,https://www.youtube.com/watch?v=4TaGTx2Gf_o,high,official
2026-04-19T06:32:56.792661+00:00,youtube,Macquarie,Macquarie University,BS_zfg7nkIY,How to Apply Macquarie University Scholarship 2026 | Study in Australia  | BS & MS |,"Macquarie University Scholarship 2026 is now open for international students who want to study in Sydney, Australia. This is a great opportunity to pursue Bachelor’s (BS) and Master’s (MS) degree programs with financial support.

UNIVERSITY LINK : https://www.mq.edu.au/study/admission...

APPLY LINK : https://admissions.mq.edu.au/index.cf...
SCHOLARSHIP LINK : https://it-mqu.formstack.com/forms/in...

Macquarie University offers a wide range of scholarships for international students, including ",UCf5XTlr61cNpPczSuiZDEvQ,learning Opportunity ,606,2026-04-03T13:09:28.000Z,286,12,27,00:07:27,https://www.youtube.com/watch?v=BS_zfg7nkIY,high,official
2026-04-19T06:32:56.792661+00:00,youtube,มหาวิทยาลัยแมคควอรี,Macquarie University,pGMTyXpBx9o,40 歲突當爸！16 歲兒子親自「手把手」教他怎麼當爹！ 💗 中國電視劇    💗偶像劇,"Croton |    LNH-DSJ

正版授權，侵權必究! Officially Authorized; Infringement Will Be Pursued!
⭐️ Subscribe now to watch more dramas 更多熱劇歡迎訂閱 ：https://www.youtube.com/@user-ed8tq1dt7b? sub_confirmation=1
https://www.youtube.com/channel/UCeH1ZIudylCF9h8vavFdyRw/

本剧内容纯属虚构，仅为剧情创作需要。所涉情节、人物及事件均不代表现实情况，观众朋友们切勿对号入座或信以为真。请大家理性观剧！

官方頻道：https://www.youtube.com/@huace
#甜劇情報站#中国电视剧#ChineseDrama#ChineseTelevisionDramas#中國電視劇#中國電視劇2023#Chinese Television Dramas#電視劇",UCeH1ZIudylCF9h8vavFdyRw,Sweet Romance Central,92300,2026-04-17T10:30:00.000Z,191,1,,01:16:48,https://www.youtube.com/watch?v=pGMTyXpBx9o,high,official
2026-04-19T06:32:56.792661+00:00,youtube,มหาวิทยาลัยแมคควอรี,Macquarie University,x-3L50VCJLI,甜蜜期撞见男友出轨，她心碎到极点，却没想到真相竟让她当场崩溃……💖 中国电视剧 Chinesedram,"正版授权，欢迎订阅！

▶️電視劇播放清單Playlist：
👏欢迎订阅 | Subscribe now to watch more dramas：https://www.youtube.com/channel/UClalZgygDd4nIqnxAhN-p3Q?sub_confirmation=1

CROTON | LNH—DSJ

#白衣剑仙寒川#ChineseDrama#ChineseTelevisionDramas#Full Movie#仙侠#中國電視劇#中国电视剧#大陆剧#都市爱情剧#dramaclips#甜宠爱情剧 #kiss",UClalZgygDd4nIqnxAhN-p3Q,The White-Clad Sword Immortal - Han Chuan,275000,2026-04-17T10:14:56.000Z,10343,65,2,02:11:48,https://www.youtube.com/watch?v=x-3L50VCJLI,high,official
2026-04-19T06:32:56.792661+00:00,youtube,มหาวิทยาลัยแมคควอรี,Macquarie University,g6jNCDG1iyE,Quantum Physics & Optical Illusions of the Bird of Paradise: Papua's Secret,"Welcome to the latest episode of our science documentary podcast! This time we take a Deep Dive into the deep rainforests of Papua to dissect one of the world’s most mesmerizing evolutionary masterpieces: The Bird of Paradise (Family Paradisaeidae).
Have you ever heard the 16th-century European myth of the ""legless bird"" (Paradisaea apoda)? We kick things off with its historical discovery before getting into a highly geeky, yet fascinating scientific discussion. Did you know that the Bird of Pa",UCQCbevHDD6NHP6pxkqOETuQ,Lion Cub Biology,7,2026-04-18T23:00:42.000Z,4,,,00:56:30,https://www.youtube.com/watch?v=g6jNCDG1iyE,high,official
2026-04-19T06:32:56.792661+00:00,youtube,มหาวิทยาลัยแมคควอรี,Macquarie University,uktCJhftVH8,[Multi SUB] ｜大一学生意外绑定畅享生活抽卡系统，一夜逆袭！他消费返现、买车买房、打脸前任，更得知父亲迎娶身价五百亿的女财阀！#剧能充电站 #MiniDrama#精彩大陆短剧,"正版授权，欢迎订阅，和我一起边看剧边充电~ 
👉👉👉https://bit.ly/4cCnCUG
Latest Completed Feel-Good Dramas, Authorized and Genuine! Copyright Protected! Subscribe Now~

#剧能充电站 #男频短剧 #最新短剧",UCuip578OmenZLPcvk0wbCwg,剧能充电站,701000,2026-04-13T04:30:39.000Z,16737,260,18,01:51:39,https://www.youtube.com/watch?v=uktCJhftVH8,high,official
2026-04-19T06:32:56.792661+00:00,youtube,มหาวิทยาลัยแมคควอรี,Macquarie University,RpvwWLnx8A8,Gotta Be You | ROMANCE | Full Movie in English,"Two strangers, fresh from failed love, reinvent themselves to seem perfect, until moving in together exposes their lies, turning romance into a funny, chaotic unraveling.

❤️ The best romantic movies are here ➤    • ❤️ Romantic Full Movies  
✔️Follow us on Facebook ➤   / 204568612956950  

Genre : Full Movie, New Movie, Cinema
© All Rights Reserved

#FullMovieROMANTIC #FullMovie",UCQsV2Q6aMSqgfkliJjCyz1w,Boxoffice | ROMANCE | Full Movies,140000,2026-04-10T12:00:53.000Z,62892,149,3,01:27:25,https://www.youtube.com/watch?v=RpvwWLnx8A8,high,official
2026-04-19T06:32:56.792661+00:00,youtube,มหาวิทยาลัยแมคควอรี,Macquarie University,0e1O-JrM148,五年無性婚姻，丈夫怪她不會討好男人，竟將情人的孩子帶回家撫養！她徹底心寒離開，轉身開起米其林餐廳逆襲人生，前夫這才悔不當初！#短劇 #追妻火葬場,"爽劇無限，每日更新！觀看更多短劇請關注：   / @%e6%98%9f%e5%a4%a2%e7%9f%ad%e5%8a%87reels...  
正版授權，侵權必究! 

本剧内容纯属虚构，仅为剧情创作需要，理性观剧！

#短劇 #全集 #短劇推薦 #熱門 #熱門短劇 #女頻 #萌寶 #一胎雙寳 #爽文 #大女主 #重生 #穿越 #復仇 #逆襲 #影后 #頂流 #流量 #追妻火葬場 #shortdrama #reelshorts #渣男 #打臉 #full #rebirth #timetravel",UCw4B_6Ub1KqV-tfh7N8vW2g,星夢短劇ReelShort,317000,2026-03-28T08:35:38.000Z,524499,3800,131,01:41:24,https://www.youtube.com/watch?v=0e1O-JrM148,high,official
